농장아이디,개체 구별 번호,산차,교배지수,경과일,교배일,임신 사고기간,임신 사고 원인,임신 기간,분만일,총산자수,미라,사산,실산자수,생시도태두수,양자전입두수,양자전출두수,포유자돈폐사 두수,부분이유 두수,포유기간,이유일,이유두수
PF_0000347_01,1,3,1,5,20151020,,,116,20160213,15,3,1,11,,,,,,33,20160317,11
PF_0000347_01,1,4,1,5,20160322,,,113,20160713,18,3,2,13,,,,,,29,20160811,11
PF_0000347_01,1,5,1,4,20160815,,,115,20161208,17,1,5,11,,,,,,28,20170105,11
PF_0000347_01,3,3,1,5,20151117,,,115,20160311,14,3,1,10,,,,,,27,20160407,12
PF_0000347_01,3,4,1,5,20160412,,,115,20160805,14,1,5,8,,,,,,27,20160901,10
PF_0000347_01,3,5,1,4,20160905,,,117,20161231,9,1,1,7,,,,,,27,20170127,11
PF_0000347_01,4,3,1,5,20151222,,,116,20160416,7,0,2,5,,,,,,26,20160512,12
PF_0000347_01,4,4,1,5,20160517,,,116,20160910,13,0,3,10,,,,,,34,20161014,10
PF_0000347_01,5,3,1,5,20151215,,,114,20160407,14,1,1,12,,,,,,28,20160505,12
PF_0000347_01,19,3,1,4,20151123,,,112,20160314,16,1,1,14,,,,,,24,20160407,12
PF_0000347_01,19,4,1,5,20160412,,,113,20160803,14,2,2,10,,,,,,29,20160901,10
PF_0000347_01,22,3,1,19,20151208,,,115,20160401,15,1,1,13,,,,,,27,20160428,11
PF_0000347_01,22,4,1,5,20160503,,,112,20160823,17,3,1,13,,,,,,30,20160922,10
PF_0000347_01,24,3,1,27,20160120,,,116,20160515,6,0,0,6,,,,,,25,20160609,12
PF_0000347_01,24,4,2,0,20160706,,,115,20161029,14,0,3,11,,,,,,26,20161124,10
PF_0000347_01,25,3,1,4,20151130,,,115,20160324,16,0,2,14,,,,,,28,20160421,11
PF_0000347_01,25,4,1,5,20160426,,,113,20160817,14,1,3,10,,,,,,29,20160915,10
PF_0000347_01,26,3,1,5,20151124,,,116,20160319,17,3,3,11,,,,,,26,20160414,11
PF_0000347_01,26,4,1,5,20160419,,,117,20160814,20,3,5,12,,,,,,32,20160915,10
PF_0000347_01,27,3,1,5,20151103,,,116,20160227,8,0,0,8,,,,,,26,20160324,10
PF_0000347_01,27,4,1,6,20160330,,,114,20160722,12,0,0,12,,,,,,27,20160818,11
PF_0000347_01,35,3,1,5,20151110,,,116,20160305,10,0,0,10,,,,,,26,20160331,11
PF_0000347_01,35,4,1,5,20160405,,,116,20160730,19,2,3,14,,,,,,26,20160825,11
PF_0000347_01,35,5,1,5,20160830,,,116,20161224,15,1,4,10,,,,,,26,20170119,11
PF_0000347_01,36,3,1,5,20160112,,,116,20160507,12,0,2,10,,,,,,26,20160602,10
PF_0000347_01,36,4,1,5,20160607,,,115,20160930,8,1,1,6,,,,,,27,20161027,10
PF_0000347_01,37,3,1,5,20151110,,,118,20160307,15,2,0,13,,,,,,24,20160331,11
PF_0000347_01,37,4,1,5,20160405,,,118,20160801,14,2,2,10,,,,,,31,20160901,10
PF_0000347_01,38,3,1,5,20151215,,,117,20160410,18,1,3,14,,,,,,25,20160505,12
PF_0000347_01,38,4,1,5,20160510,,,116,20160903,9,0,1,8,,,,,,33,20161006,10
PF_0000347_01,39,3,1,5,20151103,,,117,20160228,12,0,3,9,,,,,,25,20160324,9
PF_0000347_01,39,4,1,5,20160329,,,115,20160722,10,0,0,10,,,,,,27,20160818,11
PF_0000347_01,39,5,1,4,20160822,,,118,20161218,7,0,0,7,,,,,,40,20170127,11
PF_0000347_01,41,2,1,5,20150915,,,117,20160110,11,1,0,10,,,,,,25,20160204,10
PF_0000347_01,41,3,1,5,20160209,,,118,20160606,13,1,2,10,,,,,,24,20160630,10
PF_0000347_01,41,4,1,5,20160705,,,117,20161030,10,0,1,9,,,,,,25,20161124,10
PF_0000347_01,45,3,1,18,20151116,,,116,20160311,13,1,0,12,,,,,,27,20160407,12
PF_0000347_01,45,4,1,5,20160412,,,115,20160805,10,0,0,10,,,,,,41,20160915,10
PF_0000347_01,46,3,1,5,20151222,,,114,20160414,15,2,1,12,,,,,,28,20160512,11
PF_0000347_01,46,4,1,5,20160517,,,114,20160908,14,3,1,10,,,,,,28,20161006,10
PF_0000347_01,49,3,1,5,20151208,,,118,20160404,14,0,2,12,,,,,,24,20160428,12
