번호,주소,발생일,가축의 종류 및 규모
1,경기 파주시 연다산동,‘19.9.16.,"돼지 2,369두"
2,경기 연천군 백학면 전동리,‘19.9.17.,"돼지 4,638두"
3,경기 김포시 통진읍 가현리,‘19.9.23.,"돼지 2,119두"
4,경기 파주시 적성면 자장리,‘19.9.23.,"돼지 2,273두"
5,인천 강화군 송해면 신당리,‘19.9.23.,돼지 388두
6,인천 강화군 불은면 고능리,‘19.9.25.,돼지 869두
7,인천 강화군 삼산면 석포리,‘19.9.25.,돼지 2두
8,인천 강화군 강화읍 월곳리,‘19.9.26.,"돼지 1,125두"
9,인천 강화군 하점면 신삼리,‘19.9.26.,"돼지 2,123두"
10,경기 파주시 파평면 마산리,‘19.10.1.,"돼지 2,661두"
11,경기 파주시 적성면 주월리,‘19.10.1.,돼지 19두
12,경기 파주시 문산읍 마정리,‘19.10.2.,"돼지 2,267두"
13,경기 김포시 통진읍 고정리,‘19.10.2.,"돼지 2,916두"
14,경기 연천군 신서면 답곡리,‘19.10.9.,"돼지 4,245두"
15,강원 화천군 상서면 다목2길,‘20.10.8.,돼지 726두
16,강원 화천군 상서면 봉오리,‘20.10.9.,"돼지 1,020두"
17,강원 영월군 주천면 용석리,‘21.5.4.,돼지 385두
18,강원 고성군 간성읍 해상리,‘21.8.7.,"돼지 2,387두"
19,강원 인제군 인제읍 가리산리,‘21.8.15.,"돼지 1,801두"
20,강원 홍천군 내촌면 물걸리,`21.8.25.,"돼지 2,300두"
