"비목별",2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023
"비목별",1000두미만,1000~1999두,2000~2999두,3000두이상,평균,1000두미만,1000~1999두,2000~2999두,3000두이상,평균,1000두미만,1000~1999두,2000~2999두,3000두이상,평균,1000두미만,1000~1999두,2000~2999두,3000두이상,평균,1000두미만,1000~1999두,2000~2999두,3000두이상,평균,1000두미만,1000~1999두,2000~2999두,3000두이상,평균,1000두미만,1000~1999두,2000~2999두,3000두이상,평균,1000두미만,1000~1999두,2000~2999두,3000두이상,평균,1000두미만,1000~1999두,2000~2999두,3000두이상,평균,1000두미만,1000~1999두,2000~2999두,3000두이상,평균,1000두미만,1000~1999두,2000~2999두,3000두이상,평균,1000두미만,1000~1999두,2000~2999두,3000두이상,평균,1000두미만,1000~1999두,2000~2999두,3000두이상,평균,1000두미만,1000~1999두,2000~2999두,3000두이상,평균,1000두미만,1000~1999두,2000~2999두,3000두이상,평균,1000두미만,1000~1999두,2000~2999두,3000두이상,평균
"경영비",190203,204402,212640,217374,208952,233505,236394,218319,215566,223928,241231,242126,243372,220981,232347,305206,276088,267459,287239,283406,303647,271530,284067,273398,278251,272342,290619,266886,260419,268981,291678,275568,258938,258699,265134,285105,267796,253409,251447,257773,292965,268687,270938,242079,255473,313775,286823,287658,258332,272009,318097,294927,255263,259910,271871,318240,291289,269322,255499,270297,297495,279682,264005,250124,262529,312849,290214,287323,278913,285185,369658,345604,328035,318691,329425,376060,362274,365002,333914,347837
"생산비",208907,217369,221834,229660,221893,256658,251782,229094,228519,238748,266939,259382,256323,233728,247783,336034,295329,283312,303482,302231,333141,288079,297079,285744,293577,306385,314769,285675,278613,290094,315356,290045,268625,266355,275976,311920,283360,264614,259808,269554,320749,283194,281859,250338,266731,344526,302349,298762,266881,283648,350541,312508,266021,268087,284391,350692,308967,282038,264658,283662,331263,298634,277337,258945,276370,345789,307964,301240,287072,298247,406410,368000,345021,329604,345719,420464,390326,387841,351779,370349
"가축비",55623,56663,56474,65496,60132,88895,64089,63244,53461,62780,86121,72261,63468,56832,65233,127985,86951,72930,77564,85490,99127,76132,83716,73072,78478,86695,72837,66396,62822,67881,95097,67714,68021,57792,65015,94728,76885,64541,59927,66880,100560,76114,71179,64271,70415,118825,86945,80332,66852,76372,113832,92845,64880,60949,73268,113885,86093,64612,58263,69543,89445,72650,57018,48931,58510,93117,68861,59673,53150,60399,108025,77113,63728,55370,65065,98341,88026,83823,58926,71719
"사료비",108790,118796,123330,121167,118979,121552,141217,123527,132363,131671,122623,134695,144251,129315,132223,136516,152320,151679,154365,151121,160526,154995,157511,151924,154484,150282,177079,159599,156971,160935,159255,163689,149433,155572,156428,148383,149092,145948,145996,146772,150901,148150,150287,134415,140671,152931,151136,155668,142729,146959,152611,149708,143699,142575,145205,152143,151933,152666,143203,147384,155074,151649,153273,149603,151164,168635,161898,171575,169186,168150,203632,201085,204267,202720,202728,205624,206506,209317,209087,208378
"수도광열비",2462,2519,2726,2413,2501,1765,2190,2129,1924,2006,2353,2573,2635,2343,2450,2594,2914,2821,3518,3133,2630,2824,3060,3010,2935,2694,3269,3114,2770,2924,2720,3453,3413,3036,3148,2877,3457,3205,2991,3099,3159,3689,3309,3308,3361,3265,3795,3222,3585,3537,4456,4334,4107,3997,4130,3694,4088,4308,3966,4029,3716,4568,4292,4070,4180,3832,4578,4625,4402,4433,4782,5219,5469,5255,5248,7398,7887,6800,5961,6582
"방역치료비",4871,5301,5918,7162,6111,4491,6062,6128,6898,6217,6865,7102,6619,8652,7716,7583,7392,7920,12358,9773,7075,7153,6581,8996,7988,5766,6774,7527,8107,7500,5663,7323,7808,8861,8082,6479,7226,7948,8684,8104,6013,7235,9779,7642,7780,6003,7692,11052,8269,8437,7451,8576,7870,9860,9015,8401,8783,7792,10177,9323,7765,8299,8816,9436,8956,7462,9163,9573,10322,9748,7894,9677,10193,10592,10139,7193,8790,10116,9487,9295
"자동차비",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1445,964,698,765,858,2113,1117,1105,797,1021,2187,1313,764,882,1045,1582,879,519,822,843,1870,993,810,981,1038,1757,1086,886,941,1029,2229,1244,1129,829,1085,2140,1348,1060,1093,1216,2204,1663,1359,1198,1392,3589,1720,1374,1318,1571
"감가상각비",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1146,707,414,611,648,1652,718,565,527,669,1878,1064,675,749,884,1369,682,477,684,705,1601,892,719,682,819,1527,914,827,648,807,1833,1094,1016,684,924,1950,1184,968,790,986,2059,1534,1195,854,1137,3381,1356,1170,1131,1346
