"현황별",2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023
"현황별",1000두미만,1000~1999,2000~2999,3000두이상,평균,1000두미만,1000~1999,2000~2999,3000두이상,평균,1000두미만,1000~1999,2000~2999,3000두이상,평균,1000두미만,1000~1999,2000~2999,3000두이상,평균,1000두미만,1000~1999,2000~2999,3000두이상,평균,1000두미만,1000~1999,2000~2999,3000두이상,평균,1000두미만,1000~1999,2000~2999,3000두이상,평균,1000두미만,1000~1999,2000~2999,3000두이상,평균,1000두미만,1000~1999,2000~2999,3000두이상,평균,1000두미만,1000~1999,2000~2999,3000두이상,평균,1000두미만,1000~1999,2000~2999,3000두이상,평균,1000두미만,1000~1999,2000~2999,3000두이상,평균,1000두미만,1000~1999,2000~2999,3000두이상,평균,1000두미만,1000~1999,2000~2999,3000두이상,평균,1000두미만,1000~1999,2000~2999,3000두이상,평균,1000두미만,1000~1999,2000~2999,3000두이상,평균
"건물및토지이용",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"건물 (m2)",7.11,5.41,4.59,5.24,5.46,4.05,3.67,4.21,3.62,3.79,6.13,5.09,4.58,5.50,5.31,7.56,4.79,5.14,5.66,5.59,7.48,5.81,4.84,4.97,5.40,6.02,5.53,4.49,4.93,5.03,6.17,4.87,5.76,5.46,5.47,5.72,5.28,5.98,5.28,5.42,5.77,5.01,5.57,4.92,5.11,6.30,4.59,4.64,5.38,5.19,5.92,5.31,4.67,4.12,4.64,6.05,4.86,4.71,4.48,4.73,6.66,5.06,5.02,4.33,4.80,6.65,4.82,5.67,4.58,4.97,7.58,5.29,5.25,4.76,5.16,6.27,5.92,5.09,4.40,4.96
"축사",5.47,4.47,3.89,4.15,4.39,3.51,2.95,3.46,2.64,2.98,5.10,4.39,3.87,4.74,4.54,6.51,4.25,4.34,4.91,4.85,6.54,4.88,4.17,4.18,4.59,4.96,4.70,3.99,4.22,4.31,5.03,4.05,4.60,4.57,4.52,4.65,4.44,4.67,4.47,4.51,4.73,4.19,4.35,4.12,4.22,5.18,3.81,3.95,4.32,4.24,4.74,4.53,3.99,3.54,3.94,4.78,4.03,3.98,3.82,3.97,5.50,4.31,4.11,3.62,4.01,5.41,3.92,4.70,3.80,4.10,6.23,4.12,4.27,3.99,4.23,4.58,4.90,3.79,3.69,4.01
"창고",0.25,0.15,0.11,0.06,0.12,0.10,0.22,0.06,0.08,0.12,0.16,0.13,0.13,0.11,0.12,0.10,0.07,0.16,0.17,0.14,0.11,0.11,0.11,0.15,0.13,0.23,0.08,0.07,0.14,0.12,0.18,0.08,0.09,0.19,0.15,0.17,0.11,0.08,0.15,0.13,0.17,0.12,0.07,0.15,0.13,0.18,0.14,0.11,0.13,0.13,0.22,0.20,0.13,0.08,0.13,0.24,0.18,0.16,0.10,0.14,0.25,0.16,0.17,0.09,0.13,0.22,0.13,0.17,0.11,0.13,0.25,0.16,0.16,0.10,0.13,0.38,0.19,0.15,0.10,0.15
"퇴비사",0.77,0.65,0.47,0.58,0.61,0.37,0.45,0.58,0.74,0.59,0.55,0.52,0.50,0.59,0.55,0.85,0.42,0.55,0.52,0.54,0.76,0.59,0.46,0.56,0.57,0.72,0.67,0.37,0.44,0.50,0.83,0.66,0.44,0.60,0.61,0.72,0.64,0.53,0.55,0.58,0.71,0.62,0.42,0.53,0.54,0.68,0.55,0.48,0.54,0.54,0.83,0.45,0.49,0.42,0.48,0.81,0.51,0.48,0.45,0.50,0.80,0.45,0.57,0.48,0.52,0.89,0.47,0.59,0.52,0.55,0.93,0.64,0.65,0.50,0.59,1.05,0.49,0.62,0.29,0.44
"기타",0.62,0.14,0.12,0.45,0.34,0.07,0.05,0.11,0.16,0.11,0.32,0.05,0.08,0.06,0.09,0.10,0.05,0.09,0.06,0.07,0.07,0.23,0.10,0.08,0.11,0.11,0.08,0.06,0.13,0.10,0.13,0.08,0.63,0.10,0.19,0.18,0.09,0.70,0.11,0.20,0.16,0.08,0.73,0.12,0.22,0.26,0.09,0.10,0.39,0.28,0.13,0.13,0.06,0.08,0.09,0.22,0.14,0.09,0.11,0.12,0.11,0.14,0.17,0.14,0.14,0.13,0.30,0.21,0.15,0.19,0.17,0.37,0.17,0.17,0.21,0.26,0.34,0.53,0.32,0.36
"토지 (m2)",13.97,8.79,10.01,9.01,9.88,5.52,9.02,7.23,10.07,8.70,11.32,9.66,10.44,11.74,10.94,11.84,10.23,9.64,9.79,10.13,11.49,10.05,9.46,9.74,9.96,11.30,11.26,8.54,9.78,9.92,10.05,8.83,9.56,10.28,9.86,10.73,9.38,9.19,10.37,10.04,12.33,8.60,9.86,9.01,9.35,11.69,8.08,10.03,9.23,9.37,15.97,9.28,11.14,7.75,9.45,12.95,8.76,9.72,8.80,9.31,12.70,9.01,9.30,8.32,9.01,12.84,9.04,10.06,8.88,9.43,14.32,10.08,8.51,9.55,9.84,10.02,9.77,8.93,6.74,7.95
"축사부지",12.81,8.25,9.67,8.42,9.26,4.88,8.22,6.61,9.55,8.07,11.14,9.13,9.86,11.71,10.68,11.27,9.66,9.48,9.74,9.87,11.11,9.17,9.40,9.59,9.64,11.17,10.93,8.34,9.64,9.74,9.89,8.39,9.18,10.17,9.64,10.69,8.87,8.80,10.28,9.83,12.04,8.07,9.55,8.83,9.08,11.64,7.75,9.59,9.07,9.14,15.02,8.88,10.99,7.60,9.17,11.62,8.36,9.52,8.43,8.88,11.54,8.59,9.14,8.13,8.70,12.11,8.64,9.86,8.62,9.11,13.72,9.61,8.37,9.22,9.49,9.63,9.24,8.45,6.50,7.60
